artist,url
Luis Fonsi,https://i.scdn.co/image/ab6761610000e5ebc85bfa07726d7173c15306dc
Daddy Yankee,https://i.scdn.co/image/ab6761610000e5ebf9ad208bbff79c1ce09c77c1
Ed Sheeran,https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba
Charlie Puth,https://i.scdn.co/image/ab6761610000e5ebf83823555da55fd07555fbd0
Wiz Khalifa,https://i.scdn.co/image/ab6761610000e5eb4bdf6db5203f2a0e44002620
CoComelon,https://i.scdn.co/image/ab6761610000e5eb3e5fc149e1901d1811096a53
Mark Ronson,https://i.scdn.co/image/ab6761610000e5eb105cc9628c315b29d299fbb4
PSY,https://i.scdn.co/image/ab6761610000e5eb24b5185226d5b7c6aa91db5a
Maroon 5,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
Katy Perry,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6
OneRepublic,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b
Justin Bieber,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
Shakira,https://i.scdn.co/image/ab6761610000e5eb284894d68fe2f80cad555110
Alan Walker,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c
Passenger,https://i.scdn.co/image/ab6761610000e5eb3eb6f55c271d954cc871954f
Enrique Iglesias,https://i.scdn.co/image/ab6761610000e5ebe1694b820dbf141ff2d0ba2b
MØ,https://i.scdn.co/image/ab6761610000e5eb21ed0100a3a4e5aa3c57f6dd
DJ Snake,https://i.scdn.co/image/ab6761610000e5eb052c6638920e98337d529b7e
Major Lazer,https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97
Willy William,https://i.scdn.co/image/ab6761610000e5ebb1c62ed15ffe2bc67a633601
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Hariharan,https://i.scdn.co/image/ab6761610000e5eb9042ffa2a66773410eca8870
Dua Lipa,https://i.scdn.co/image/ab6761610000e5eb1bbee4a02f85ecc58d385c3e
Clean Bandit,https://i.scdn.co/image/ab6761610000e5eb7a487027eb0c10af725d5410
Fifth Harmony,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97
Pedro Capó,https://i.scdn.co/image/ab6761610000e5ebd2567e467666ca2e34e91fae
Farruko,https://i.scdn.co/image/ab6761610000e5eb97359301fed537d6d622edff
Calvin Harris,https://i.scdn.co/image/ab6761610000e5eb37bff6aa1d42bede9048750f
Rihanna,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789
Twenty One Pilots,https://i.scdn.co/image/ab6761610000e5eb196972172c37d934d9ca8093
Sia,https://i.scdn.co/image/ab6761610000e5eb25a749000611559f1719cc5f
Meghan Trainor,https://i.scdn.co/image/ab6761610000e5eb4d8f97058ff993df0f4eb9ee
Eminem,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
Natti Natasha,https://i.scdn.co/image/ab6761610000e5eb32d584288871ebb0f90e1866
Ozuna,https://i.scdn.co/image/ab6761610000e5ebd45efec1d439cfd8bd936421
Selena Gomez,https://i.scdn.co/image/ab6761610000e5eb0c8eb928813cd06614c0710d
Imagine Dragons,https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e
Darell,https://i.scdn.co/image/ab6761610000e5ebe95edd8934df121c88d48d01
Shawn Mendes,https://i.scdn.co/image/ab6761610000e5eb46e7a06fa6dfefaed6a3f0db
Ellie Goulding,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a
LMFAO,https://i.scdn.co/image/2d75f5222d8a92d5e12419ae3e5238261f943df6
Becky G,https://i.scdn.co/image/ab6761610000e5ebd132bf0d4a9203404cd66f79
Demi Lovato,https://i.scdn.co/image/ab6761610000e5ebcf674ecb51186e6408cd18c0
John Legend,https://i.scdn.co/image/ab6761610000e5ebba10593e25ec51a3ba4296a0
Avicii,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113
Christina Perri,https://i.scdn.co/image/ab6761610000e5eb9bbbc124c9f0f75af892d97d
The Weeknd,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb
Adele,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17
Nicky Jam,https://i.scdn.co/image/ab6761610000e5ebb02bec146cac39466d3f8ee1
The Chainsmokers,https://i.scdn.co/image/ab6761610000e5ebdb68d678df6d89bf8a55d052
Coldplay,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3
Bruno Mars,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
Jennifer Lopez,https://i.scdn.co/image/ab6761610000e5eb4c68a698682f5f9102b8e75f
Kimbra,https://i.scdn.co/image/ab6761610000e5ebd6343e3f93e1bebd2b36bfd4
Gotye,https://i.scdn.co/image/713664fded8bdd28ed84f4b2054815af92999b9c
ROSALÍA,https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49
J Balvin,https://i.scdn.co/image/ab6761610000e5eb5d0fc400392250a750a9403e
BLACKPINK,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c
Guns N' Roses,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c
Romeo Santos,https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49
Post Malone,https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1
Swae Lee,https://i.scdn.co/image/ab6761610000e5ebf1be22786da29b0a1284c0a5
Jhayco,https://i.scdn.co/image/ab6761610000e5ebd8ff1e5648c9a11c7025b2e3
KAROL G,https://i.scdn.co/image/ab6761610000e5ebeb97a2403d7b9a631ce0f59c
ZAYN,https://i.scdn.co/image/ab6761610000e5eb056f821a5186892979410deb
Linkin Park,https://i.scdn.co/image/ab6761610000e5eb811da3b2e7c9e5a9c1a6c4f7
Jessie J,https://i.scdn.co/image/ab6761610000e5eb7700f9e2fad4e7b78f762a64
Nicki Minaj,https://i.scdn.co/image/ab6761610000e5eb6a8e5e8752d1dc2dafa63f20
Ricky Martin,https://i.scdn.co/image/ab6761610000e5eb1c0f358293ec7b223fd91fca
Maluma,https://i.scdn.co/image/ab6761610000e5eb39e39ba2b3216cda7146afa5
Piso 21,https://i.scdn.co/image/ab6761610000e5eb586f64944a50e3df327c3f02
Ryan Lewis,https://i.scdn.co/image/ab6761610000e5eb3c2f1ba4c1a3de141e63d775
Macklemore,https://i.scdn.co/image/ab6761610000e5eb488b3b242f97163a7f8e17b9
Los Ángeles Azules,https://i.scdn.co/image/ab6761610000e5eb8d751eb2c4670d689d23734e
Billie Eilish,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf
Khalid,https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf
Ty Dolla $ign,https://i.scdn.co/image/ab6761610000e5ebd9dde4a54073dbd58fb91c7d
Jason Derulo,https://i.scdn.co/image/ab6761610000e5eb2ca27dcc7f92e9576126bb18
DJ Khaled,https://i.scdn.co/image/ab6761610000e5eb084f36c2ae2da4a02494e1e5
50 Cent,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2
David Guetta,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
BTS,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a
